incident_id,created_date,resolved_date,priority,severity,status,category,sub_category,assignment_group,resolver,sla_target_hours,resolution_time_hours,reopened_flag,sla_breach_flag,customer_id,ticket_subject,ticket_description,resolution,customer_satisfaction_rating
INC100015,05:00.0,NULL,P3,Medium,Pending Input,Database,SQL,DB Team,Sneha,72,NULL,1,NULL,CUST03894,Password Reset,User reported password reset.,NULL,NULL
INC100016,16:00.0,NULL,P3,Medium,Open,Email,Outlook,Messaging Team,Ankit,72,NULL,0,NULL,CUST01648,SAP Login Failure,User reported sap login failure.,NULL,NULL
INC100017,42:00.0,NULL,P3,Medium,Open,Hardware,Laptop,Desktop Team,Sneha,72,NULL,1,NULL,CUST01841,Firewall Rule Request,User reported firewall rule request.,NULL,NULL
INC100018,01:00.0,NULL,P3,Medium,Open,Cloud,Azure,Cloud Team,Vikas,72,NULL,1,NULL,CUST00483,Email Delivery Delay,User reported email delivery delay.,NULL,NULL
INC100019,57:00.0,25:12.0,P3,Medium,Closed,Database,SQL,DB Team,Sneha,72,44.47000122,0,0,CUST01991,Azure VM Down,User reported azure vm down.,Resolved azure vm down after investigation.,5
INC100020,12:00.0,58:12.0,P2,High,Closed,Email,Outlook,Messaging Team,Priya,48,25.77000046,1,0,CUST02780,Database Timeout,User reported database timeout.,Resolved database timeout after investigation.,4
INC100021,12:00.0,25:12.0,P3,Medium,Closed,Hardware,Laptop,Desktop Team,Ravi,72,33.22000122,0,0,CUST04509,Firewall Rule Request,User reported firewall rule request.,Resolved firewall rule request after investigation.,3
INC100022,41:00.0,NULL,P1,Critical,Open,Database,SQL,DB Team,Ankit,24,NULL,0,NULL,CUST03944,Password Reset,User reported password reset.,NULL,NULL
INC100023,57:00.0,50:24.0,P2,High,Closed,Email,Outlook,Messaging Team,John,48,21.88999939,0,0,CUST04553,Printer Offline,User reported printer offline.,Resolved printer offline after investigation.,4
INC100024,12:00.0,10:12.0,P2,High,Closed,Network,Connectivity,Network Team,Vikas,48,17.96999931,0,0,CUST04351,Firewall Rule Request,User reported firewall rule request.,Resolved firewall rule request after investigation.,5
INC100025,32:00.0,53:00.0,P2,High,Closed,Database,SQL,DB Team,Vikas,48,33.34999847,0,0,CUST04871,Azure VM Down,User reported azure vm down.,Resolved azure vm down after investigation.,3
INC100026,05:00.0,30:48.0,P4,Low,Resolved,Access,Password,IAM Team,Vikas,60,43.43000031,0,0,CUST03243,High CPU Usage,User reported high cpu usage.,Resolved high cpu usage after investigation.,NULL
INC100027,41:00.0,14:36.0,P3,Medium,Closed,Backup,Restore,Infra Team,David,72,83.55999756,0,1,CUST02173,SAP Login Failure,User reported sap login failure.,Resolved sap login failure after investigation.,5
INC100028,56:00.0,44:36.0,P2,High,Closed,Backup,Restore,Infra Team,Neha,48,32.81000137,1,0,CUST04544,SAP Login Failure,User reported sap login failure.,Resolved sap login failure after investigation.,4
INC100029,06:00.0,52:48.0,P2,High,Closed,Database,SQL,DB Team,David,48,19.78000069,0,0,CUST02163,High CPU Usage,User reported high cpu usage.,Resolved high cpu usage after investigation.,5
INC100030,16:00.0,28:00.0,P2,High,Closed,Email,Outlook,Messaging Team,Neha,48,23.20000076,0,0,CUST04520,Password Reset,User reported password reset.,Resolved password reset after investigation.,2
INC100031,00:00.0,53:24.0,P2,High,Closed,Application,ERP,App Team,Sneha,48,23.88999939,0,0,CUST00327,VPN Connection Failure,User reported vpn connection failure.,Resolved vpn connection failure after investigation.,5
INC100032,43:00.0,56:12.0,P4,Low,Closed,Database,SQL,DB Team,Priya,60,42.22000122,0,0,CUST01940,Password Reset,User reported password reset.,Resolved password reset after investigation.,4
INC100033,56:00.0,17:00.0,P1,Critical,Resolved,Application,ERP,App Team,Priya,24,12.35000038,0,0,CUST00886,Email Delivery Delay,User reported email delivery delay.,Resolved email delivery delay after investigation.,NULL
INC100034,54:00.0,27:00.0,P2,High,Resolved,Cloud,Azure,Cloud Team,Rahul,48,32.54999924,1,0,CUST01583,Email Delivery Delay,User reported email delivery delay.,Resolved email delivery delay after investigation.,NULL
INC100035,17:00.0,52:24.0,P4,Low,Closed,Security,Access,Security Team,Priya,60,30.59000015,1,0,CUST02140,VPN Connection Failure,User reported vpn connection failure.,Resolved vpn connection failure after investigation.,4
INC100036,16:00.0,10:00.0,P2,High,Closed,Access,Password,IAM Team,Amit,48,31.89999962,0,0,CUST04724,Database Timeout,User reported database timeout.,Resolved database timeout after investigation.,2
INC100037,02:00.0,NULL,P3,Medium,Pending Input,Network,Connectivity,Network Team,Sneha,72,NULL,0,NULL,CUST01615,SAP Login Failure,User reported sap login failure.,NULL,NULL
INC100038,04:00.0,NULL,P3,Medium,Open,Access,Password,IAM Team,Priya,72,NULL,0,NULL,CUST02461,Database Timeout,User reported database timeout.,NULL,NULL
INC100039,42:00.0,25:12.0,P3,Medium,Resolved,Email,Outlook,Messaging Team,Neha,72,30.71999931,0,0,CUST01426,Printer Offline,User reported printer offline.,Resolved printer offline after investigation.,NULL
INC100040,19:00.0,53:48.0,P3,Medium,Resolved,Network,Connectivity,Network Team,Neha,72,37.58000183,0,0,CUST03623,High CPU Usage,User reported high cpu usage.,Resolved high cpu usage after investigation.,NULL
INC100041,30:00.0,NULL,P2,High,Pending Input,Database,SQL,DB Team,Neha,48,NULL,0,NULL,CUST02746,SAP Login Failure,User reported sap login failure.,NULL,NULL
INC100042,43:00.0,52:36.0,P2,High,Closed,Cloud,Azure,Cloud Team,Ravi,48,53.15999985,0,1,CUST04716,Database Timeout,User reported database timeout.,Resolved database timeout after investigation.,3
INC100043,44:00.0,44:00.0,P3,Medium,Resolved,Email,Outlook,Messaging Team,Ankit,72,45,0,0,CUST01793,Database Timeout,User reported database timeout.,Resolved database timeout after investigation.,NULL
INC100044,33:00.0,07:12.0,P1,Critical,Resolved,Software,Installation,Desktop Team,Ankit,24,9.569999695,0,0,CUST04579,Firewall Rule Request,User reported firewall rule request.,Resolved firewall rule request after investigation.,NULL
INC100045,48:00.0,46:48.0,P3,Medium,Resolved,Software,Installation,Desktop Team,Amit,72,40.97999954,0,0,CUST02026,Firewall Rule Request,User reported firewall rule request.,Resolved firewall rule request after investigation.,NULL
INC100046,31:00.0,NULL,P2,High,Open,Security,Access,Security Team,Rahul,48,NULL,0,NULL,CUST01921,Database Timeout,User reported database timeout.,NULL,NULL
INC100047,20:00.0,NULL,P2,High,Open,Application,ERP,App Team,Ravi,48,NULL,0,NULL,CUST01252,Email Delivery Delay,User reported email delivery delay.,NULL,NULL
INC100048,26:00.0,35:36.0,P3,Medium,Resolved,Software,Installation,Desktop Team,Rahul,72,31.15999985,0,0,CUST00161,Azure VM Down,User reported azure vm down.,Resolved azure vm down after investigation.,NULL
INC100049,30:00.0,09:36.0,P3,Medium,Closed,Security,Access,Security Team,Amit,72,52.65999985,0,0,CUST01807,SAP Login Failure,User reported sap login failure.,Resolved sap login failure after investigation.,4
INC100050,17:00.0,02:36.0,P3,Medium,Resolved,Network,Connectivity,Network Team,Amit,72,44.75999832,0,0,CUST01046,Password Reset,User reported password reset.,Resolved password reset after investigation.,NULL
INC100051,01:00.0,33:24.0,P3,Medium,Resolved,Access,Password,IAM Team,John,72,37.54000092,1,0,CUST03106,Password Reset,User reported password reset.,Resolved password reset after investigation.,NULL
INC100052,29:00.0,38:36.0,P3,Medium,Closed,Email,Outlook,Messaging Team,Neha,72,49.15999985,0,0,CUST00427,VPN Connection Failure,User reported vpn connection failure.,Resolved vpn connection failure after investigation.,5
INC100053,41:00.0,27:48.0,P4,Low,Closed,Network,Connectivity,Network Team,John,60,25.78000069,0,0,CUST00938,Password Reset,User reported password reset.,Resolved password reset after investigation.,5
INC100054,29:00.0,NULL,P2,High,Pending Input,Backup,Restore,Infra Team,Ravi,48,NULL,0,NULL,CUST00939,Azure VM Down,User reported azure vm down.,NULL,NULL
INC100055,06:00.0,NULL,P1,Critical,Open,Security,Access,Security Team,Vikas,24,NULL,0,NULL,CUST01625,Printer Offline,User reported printer offline.,NULL,NULL
INC100056,44:00.0,NULL,P2,High,Open,Database,SQL,DB Team,Neha,48,NULL,0,NULL,CUST04637,Azure VM Down,User reported azure vm down.,NULL,NULL
INC100057,34:00.0,45:24.0,P4,Low,Resolved,Backup,Restore,Infra Team,David,60,29.19000053,1,0,CUST02968,Firewall Rule Request,User reported firewall rule request.,Resolved firewall rule request after investigation.,NULL
INC100058,09:00.0,36:36.0,P2,High,Resolved,Software,Installation,Desktop Team,Neha,48,34.45999908,0,0,CUST04854,Firewall Rule Request,User reported firewall rule request.,Resolved firewall rule request after investigation.,NULL
INC100059,54:00.0,37:12.0,P2,High,Closed,Security,Access,Security Team,Rahul,48,25.71999931,0,0,CUST02663,VPN Connection Failure,User reported vpn connection failure.,Resolved vpn connection failure after investigation.,5
INC100060,13:00.0,28:36.0,P2,High,Closed,Backup,Restore,Infra Team,Neha,48,30.26000023,1,0,CUST03330,Email Delivery Delay,User reported email delivery delay.,Resolved email delivery delay after investigation.,5
INC100061,48:00.0,12:36.0,P4,Low,Closed,Hardware,Laptop,Desktop Team,Rahul,60,21.40999985,0,0,CUST04765,Email Delivery Delay,User reported email delivery delay.,Resolved email delivery delay after investigation.,5
INC100062,35:00.0,NULL,P3,Medium,Open,Email,Outlook,Messaging Team,Sneha,72,NULL,0,NULL,CUST03718,High CPU Usage,User reported high cpu usage.,NULL,NULL
INC100063,16:00.0,21:24.0,P2,High,Closed,Cloud,Azure,Cloud Team,Priya,48,27.09000015,0,0,CUST02266,Email Delivery Delay,User reported email delivery delay.,Resolved email delivery delay after investigation.,5
INC100064,38:00.0,53:00.0,P2,High,Closed,Cloud,Azure,Cloud Team,Neha,48,20.25,1,0,CUST00447,Application Crash,User reported application crash.,Resolved application crash after investigation.,4
INC100065,44:00.0,30:48.0,P4,Low,Closed,Hardware,Laptop,Desktop Team,David,60,34.77999878,0,0,CUST02069,Password Reset,User reported password reset.,Resolved password reset after investigation.,5
INC100066,52:00.0,50:12.0,P3,Medium,Closed,Hardware,Laptop,Desktop Team,David,72,44.97000122,1,0,CUST02034,Application Crash,User reported application crash.,Resolved application crash after investigation.,3
INC100067,48:00.0,03:00.0,P3,Medium,Resolved,Access,Password,IAM Team,Vikas,72,40.25,0,0,CUST04822,Firewall Rule Request,User reported firewall rule request.,Resolved firewall rule request after investigation.,NULL
INC100068,36:00.0,NULL,P1,Critical,Open,Access,Password,IAM Team,David,24,NULL,0,NULL,CUST02168,Email Delivery Delay,User reported email delivery delay.,NULL,NULL
INC100069,15:00.0,54:36.0,P3,Medium,Closed,Database,SQL,DB Team,Ravi,72,80.66000366,0,1,CUST02317,Email Delivery Delay,User reported email delivery delay.,Resolved email delivery delay after investigation.,5
INC100070,43:00.0,58:36.0,P2,High,Closed,Access,Password,IAM Team,Ankit,48,27.26000023,1,0,CUST01360,Password Reset,User reported password reset.,Resolved password reset after investigation.,3
INC100071,47:00.0,NULL,P3,Medium,Open,Hardware,Laptop,Desktop Team,David,72,NULL,0,NULL,CUST03298,Firewall Rule Request,User reported firewall rule request.,NULL,NULL
INC100072,34:00.0,12:24.0,P3,Medium,Resolved,Database,SQL,DB Team,Vikas,72,37.63999939,1,0,CUST01876,Application Crash,User reported application crash.,Resolved application crash after investigation.,NULL
INC100073,01:00.0,NULL,P4,Low,Pending Engineering,Security,Access,Security Team,Vikas,60,NULL,0,NULL,CUST01436,VPN Connection Failure,User reported vpn connection failure.,NULL,NULL
INC100074,41:00.0,20:00.0,P3,Medium,Resolved,Application,ERP,App Team,Vikas,72,48.65000153,0,0,CUST02731,Firewall Rule Request,User reported firewall rule request.,Resolved firewall rule request after investigation.,NULL
INC100075,06:00.0,31:12.0,P3,Medium,Closed,Email,Outlook,Messaging Team,Rahul,72,52.41999817,1,0,CUST02068,Firewall Rule Request,User reported firewall rule request.,Resolved firewall rule request after investigation.,4
INC100076,49:00.0,34:36.0,P3,Medium,Resolved,Network,Connectivity,Network Team,Sneha,72,26.76000023,0,0,CUST03622,Azure VM Down,User reported azure vm down.,Resolved azure vm down after investigation.,NULL
INC100077,17:00.0,NULL,P2,High,Open,Security,Access,Security Team,Rahul,48,NULL,1,NULL,CUST04988,Firewall Rule Request,User reported firewall rule request.,NULL,NULL
INC100078,10:00.0,50:12.0,P3,Medium,Closed,Network,Connectivity,Network Team,Sneha,72,31.67000008,0,0,CUST01262,Database Timeout,User reported database timeout.,Resolved database timeout after investigation.,5
INC100079,18:00.0,49:48.0,P4,Low,Resolved,Security,Access,Security Team,Amit,60,44.52999878,1,0,CUST01562,SAP Login Failure,User reported sap login failure.,Resolved sap login failure after investigation.,NULL
INC100080,47:00.0,42:12.0,P2,High,Closed,Security,Access,Security Team,Amit,48,31.92000008,0,0,CUST04751,Application Crash,User reported application crash.,Resolved application crash after investigation.,5
INC100081,28:00.0,NULL,P3,Medium,Open,Backup,Restore,Infra Team,Priya,72,NULL,0,NULL,CUST03091,SAP Login Failure,User reported sap login failure.,NULL,NULL
INC100082,55:00.0,27:24.0,P4,Low,Closed,Cloud,Azure,Cloud Team,Vikas,60,41.54000092,0,0,CUST03124,Firewall Rule Request,User reported firewall rule request.,Resolved firewall rule request after investigation.,5
INC100083,50:00.0,NULL,P2,High,Open,Hardware,Laptop,Desktop Team,John,48,NULL,0,NULL,CUST04835,Password Reset,User reported password reset.,NULL,NULL
INC100084,55:00.0,22:00.0,P2,High,Resolved,Software,Installation,Desktop Team,Rahul,48,51.45000076,1,1,CUST02172,Password Reset,User reported password reset.,Resolved password reset after investigation.,NULL
INC100085,44:00.0,21:12.0,P4,Low,Resolved,Database,SQL,DB Team,Priya,60,41.61999893,0,0,CUST03998,High CPU Usage,User reported high cpu usage.,Resolved high cpu usage after investigation.,NULL
INC100086,39:00.0,46:48.0,P2,High,Closed,Security,Access,Security Team,Ankit,48,25.12999916,0,0,CUST02454,Database Timeout,User reported database timeout.,Resolved database timeout after investigation.,4
INC100087,20:00.0,33:48.0,P3,Medium,Closed,Backup,Restore,Infra Team,Priya,72,32.22999954,0,0,CUST00647,Password Reset,User reported password reset.,Resolved password reset after investigation.,4
INC100088,39:00.0,NULL,P2,High,Open,Hardware,Laptop,Desktop Team,Vikas,48,NULL,0,NULL,CUST02081,Password Reset,User reported password reset.,NULL,NULL
INC100089,42:00.0,37:12.0,P3,Medium,Closed,Security,Access,Security Team,Sneha,72,37.91999817,0,0,CUST03743,Printer Offline,User reported printer offline.,Resolved printer offline after investigation.,4
INC100090,24:00.0,14:24.0,P2,High,Resolved,Cloud,Azure,Cloud Team,Amit,48,27.84000015,1,0,CUST03243,Application Crash,User reported application crash.,Resolved application crash after investigation.,NULL
INC100091,36:00.0,NULL,P4,Low,Open,Network,Connectivity,Network Team,Vikas,60,NULL,0,NULL,CUST02345,Firewall Rule Request,User reported firewall rule request.,NULL,NULL
INC100092,51:00.0,09:36.0,P2,High,Closed,Cloud,Azure,Cloud Team,Vikas,48,31.30999947,0,0,CUST00323,Password Reset,User reported password reset.,Resolved password reset after investigation.,4
INC100093,02:00.0,NULL,P3,Medium,Open,Application,ERP,App Team,David,72,NULL,0,NULL,CUST03404,Application Crash,User reported application crash.,NULL,NULL
INC100094,08:00.0,NULL,P3,Medium,Open,Software,Installation,Desktop Team,Sneha,72,NULL,0,NULL,CUST02106,Application Crash,User reported application crash.,NULL,NULL
INC100095,47:00.0,08:36.0,P2,High,Closed,Hardware,Laptop,Desktop Team,David,48,35.36000061,0,0,CUST04566,Printer Offline,User reported printer offline.,Resolved printer offline after investigation.,4
INC100096,50:00.0,46:24.0,P1,Critical,Resolved,Security,Access,Security Team,Sneha,24,11.93999958,0,0,CUST03044,Application Crash,User reported application crash.,Resolved application crash after investigation.,NULL
INC100097,14:00.0,29:36.0,P1,Critical,Resolved,Access,Password,IAM Team,Sneha,24,14.26000023,0,0,CUST02476,Firewall Rule Request,User reported firewall rule request.,Resolved firewall rule request after investigation.,NULL
INC100098,08:00.0,47:00.0,P1,Critical,Closed,Security,Access,Security Team,Rahul,24,10.64999962,0,0,CUST04426,High CPU Usage,User reported high cpu usage.,Resolved high cpu usage after investigation.,5
INC100099,47:00.0,NULL,P2,High,Pending Input,Email,Outlook,Messaging Team,David,48,NULL,0,NULL,CUST02292,Firewall Rule Request,User reported firewall rule request.,NULL,NULL
INC100100,23:00.0,26:36.0,P3,Medium,Closed,Hardware,Laptop,Desktop Team,Ankit,72,28.05999947,1,0,CUST02261,High CPU Usage,User reported high cpu usage.,Resolved high cpu usage after investigation.,4
INC100101,54:00.0,40:12.0,P2,High,Resolved,Cloud,Azure,Cloud Team,Vikas,48,17.77000046,0,0,CUST01682,Password Reset,User reported password reset.,Resolved password reset after investigation.,NULL
INC100102,13:00.0,NULL,P2,High,Open,Cloud,Azure,Cloud Team,Priya,48,NULL,0,NULL,CUST04883,Password Reset,User reported password reset.,NULL,NULL
INC100103,54:00.0,48:36.0,P2,High,Closed,Software,Installation,Desktop Team,Neha,48,18.90999985,0,0,CUST01950,High CPU Usage,User reported high cpu usage.,Resolved high cpu usage after investigation.,5
INC100104,01:00.0,55:00.0,P2,High,Closed,Network,Connectivity,Network Team,Ravi,48,26.89999962,0,0,CUST00894,High CPU Usage,User reported high cpu usage.,Resolved high cpu usage after investigation.,4
INC100105,14:00.0,NULL,P1,Critical,Open,Software,Installation,Desktop Team,Neha,24,NULL,0,NULL,CUST00256,Firewall Rule Request,User reported firewall rule request.,NULL,NULL
INC100106,54:00.0,52:12.0,P3,Medium,Resolved,Database,SQL,DB Team,Rahul,72,37.97000122,0,0,CUST00539,High CPU Usage,User reported high cpu usage.,Resolved high cpu usage after investigation.,NULL
INC100107,39:00.0,NULL,P3,Medium,Open,Software,Installation,Desktop Team,Priya,72,NULL,0,NULL,CUST04347,Printer Offline,User reported printer offline.,NULL,NULL
INC100108,32:00.0,NULL,P3,Medium,Open,Database,SQL,DB Team,David,72,NULL,0,NULL,CUST01762,SAP Login Failure,User reported sap login failure.,NULL,NULL
INC100109,56:00.0,08:36.0,P3,Medium,Closed,Backup,Restore,Infra Team,Rahul,72,46.20999908,0,0,CUST01251,Application Crash,User reported application crash.,Resolved application crash after investigation.,5
INC100110,05:00.0,02:00.0,P2,High,Closed,Email,Outlook,Messaging Team,David,48,23.95000076,0,0,CUST01002,SAP Login Failure,User reported sap login failure.,Resolved sap login failure after investigation.,5
INC100111,55:00.0,NULL,P4,Low,Open,Email,Outlook,Messaging Team,John,60,NULL,0,NULL,CUST02881,Application Crash,User reported application crash.,NULL,NULL
INC100112,32:00.0,03:12.0,P2,High,Closed,Hardware,Laptop,Desktop Team,Ankit,48,23.52000046,0,0,CUST03516,Application Crash,User reported application crash.,Resolved application crash after investigation.,5
INC100113,39:00.0,NULL,P4,Low,Open,Software,Installation,Desktop Team,John,60,NULL,0,NULL,CUST02191,Azure VM Down,User reported azure vm down.,NULL,NULL
INC100114,17:00.0,NULL,P4,Low,Pending Input,Security,Access,Security Team,Priya,60,NULL,1,NULL,CUST01174,High CPU Usage,User reported high cpu usage.,NULL,NULL
INC100115,25:00.0,20:48.0,P2,High,Closed,Network,Connectivity,Network Team,David,48,20.93000031,0,0,CUST02658,High CPU Usage,User reported high cpu usage.,Resolved high cpu usage after investigation.,5
INC100116,05:00.0,27:12.0,P2,High,Closed,Application,ERP,App Team,Vikas,48,18.37000084,0,0,CUST02238,Azure VM Down,User reported azure vm down.,Resolved azure vm down after investigation.,5
INC100117,07:00.0,23:48.0,P3,Medium,Closed,Database,SQL,DB Team,Neha,72,42.27999878,0,0,CUST04910,Email Delivery Delay,User reported email delivery delay.,Resolved email delivery delay after investigation.,5
INC100118,13:00.0,19:00.0,P2,High,Closed,Application,ERP,App Team,Neha,48,19.10000038,0,0,CUST01886,Password Reset,User reported password reset.,Resolved password reset after investigation.,5
INC100119,53:00.0,NULL,P3,Medium,Open,Database,SQL,DB Team,Amit,72,NULL,0,NULL,CUST03767,VPN Connection Failure,User reported vpn connection failure.,NULL,NULL
INC100120,36:00.0,27:36.0,P3,Medium,Resolved,Email,Outlook,Messaging Team,Amit,72,36.86000061,0,0,CUST03770,Password Reset,User reported password reset.,Resolved password reset after investigation.,NULL
INC100121,27:00.0,45:36.0,P2,High,Closed,Email,Outlook,Messaging Team,Vikas,48,18.30999947,0,0,CUST01378,Email Delivery Delay,User reported email delivery delay.,Resolved email delivery delay after investigation.,4
INC100122,40:00.0,55:36.0,P3,Medium,Closed,Software,Installation,Desktop Team,Ankit,72,35.25999832,0,0,CUST01200,Password Reset,User reported password reset.,Resolved password reset after investigation.,3
INC100123,11:00.0,NULL,P2,High,Open,Database,SQL,DB Team,Ravi,48,NULL,0,NULL,CUST04619,Firewall Rule Request,User reported firewall rule request.,NULL,NULL
INC100124,43:00.0,NULL,P4,Low,Open,Access,Password,IAM Team,Priya,60,NULL,0,NULL,CUST00560,High CPU Usage,User reported high cpu usage.,NULL,NULL
INC100125,40:00.0,00:24.0,P3,Medium,Closed,Access,Password,IAM Team,John,72,27.34000015,0,0,CUST00629,High CPU Usage,User reported high cpu usage.,Resolved high cpu usage after investigation.,5
INC100126,38:00.0,38:00.0,P3,Medium,Resolved,Hardware,Laptop,Desktop Team,Vikas,72,48,0,0,CUST04684,Firewall Rule Request,User reported firewall rule request.,Resolved firewall rule request after investigation.,NULL
INC100127,38:00.0,11:36.0,P3,Medium,Resolved,Application,ERP,App Team,John,72,48.56000137,0,0,CUST01414,Database Timeout,User reported database timeout.,Resolved database timeout after investigation.,NULL
INC100128,45:00.0,25:48.0,P3,Medium,Resolved,Software,Installation,Desktop Team,Sneha,72,35.68000031,0,0,CUST02772,Printer Offline,User reported printer offline.,Resolved printer offline after investigation.,NULL
INC100129,50:00.0,NULL,P4,Low,Open,Backup,Restore,Infra Team,David,60,NULL,1,NULL,CUST03167,High CPU Usage,User reported high cpu usage.,NULL,NULL
INC100130,46:00.0,NULL,P3,Medium,Open,Application,ERP,App Team,Priya,72,NULL,0,NULL,CUST01159,Database Timeout,User reported database timeout.,NULL,NULL
INC100131,41:00.0,NULL,P4,Low,Pending Input,Email,Outlook,Messaging Team,Ravi,60,NULL,0,NULL,CUST00695,Azure VM Down,User reported azure vm down.,NULL,NULL
INC100132,24:00.0,NULL,P3,Medium,Open,Application,ERP,App Team,Sneha,72,NULL,0,NULL,CUST03469,Database Timeout,User reported database timeout.,NULL,NULL
INC100133,01:00.0,17:12.0,P3,Medium,Closed,Application,ERP,App Team,Ankit,72,47.27000046,1,0,CUST00829,Password Reset,User reported password reset.,Resolved password reset after investigation.,1
INC100134,53:00.0,NULL,P3,Medium,Pending Input,Network,Connectivity,Network Team,Priya,72,NULL,1,NULL,CUST03087,Azure VM Down,User reported azure vm down.,NULL,NULL
INC100135,11:00.0,NULL,P4,Low,Pending Input,Access,Password,IAM Team,Ravi,60,NULL,1,NULL,CUST02985,Firewall Rule Request,User reported firewall rule request.,NULL,NULL
INC100136,39:00.0,04:48.0,P4,Low,Closed,Hardware,Laptop,Desktop Team,Ankit,60,28.43000031,0,0,CUST04673,Email Delivery Delay,User reported email delivery delay.,Resolved email delivery delay after investigation.,4
INC100137,49:00.0,00:24.0,P4,Low,Closed,Email,Outlook,Messaging Team,Sneha,60,44.18999863,0,0,CUST00428,Password Reset,User reported password reset.,Resolved password reset after investigation.,3
INC100138,35:00.0,53:36.0,P4,Low,Closed,Software,Installation,Desktop Team,David,60,39.31000137,0,0,CUST00752,Password Reset,User reported password reset.,Resolved password reset after investigation.,3
INC100139,56:00.0,55:24.0,P1,Critical,Closed,Email,Outlook,Messaging Team,John,24,11.98999977,1,0,CUST00812,Email Delivery Delay,User reported email delivery delay.,Resolved email delivery delay after investigation.,5
INC100140,08:00.0,50:36.0,P3,Medium,Closed,Hardware,Laptop,Desktop Team,Ravi,72,38.70999908,0,0,CUST01225,VPN Connection Failure,User reported vpn connection failure.,Resolved vpn connection failure after investigation.,3
INC100141,38:00.0,NULL,P3,Medium,Open,Database,SQL,DB Team,Neha,72,NULL,0,NULL,CUST00392,Email Delivery Delay,User reported email delivery delay.,NULL,NULL
INC100142,40:00.0,NULL,P3,Medium,Open,Database,SQL,DB Team,David,72,NULL,0,NULL,CUST00135,Firewall Rule Request,User reported firewall rule request.,NULL,NULL
INC100143,15:00.0,NULL,P2,High,Pending Input,Security,Access,Security Team,Amit,48,NULL,0,NULL,CUST01971,VPN Connection Failure,User reported vpn connection failure.,NULL,NULL
INC100144,11:00.0,NULL,P4,Low,Open,Database,SQL,DB Team,Sneha,60,NULL,1,NULL,CUST04310,High CPU Usage,User reported high cpu usage.,NULL,NULL
INC100145,50:00.0,17:00.0,P3,Medium,Resolved,Network,Connectivity,Network Team,Amit,72,26.45000076,0,0,CUST00134,High CPU Usage,User reported high cpu usage.,Resolved high cpu usage after investigation.,NULL
